1. Missing pricing models for a transaction

No exceptions

2. Zero or negative transaction amounts

No exceptions

 3. Duplicated transactions within the day

trans_dt_time,cc_num,user_name,category,amount,first_name,last_name,gender,street,city,state,zip,lat,long,city_popn,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,merch_zipcode,dup_date
2019-12-28 16:05:07,4170689372027579.0,Schmidt and Sons,shopping_net,1.86,Samuel,Frey,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001.0,Media buyer,1993-05-10,21c8da1164c1c630ffb7773db7092e43,1356710707.0,36.286931,-96.96986,0,73061.0,2019-12-28
2019-12-28 16:12:06,4170689372027579.0,Schmidt and Sons,shopping_net,1.86,Samuel,Frey,M,830 Myers Plaza Apt. 384,Edmond,OK,73034,35.6665,-97.4798,116001.0,Media buyer,1993-05-10,b81aa8661547a4eacaa40c4d53620244,1356711126.0,36.463805,-97.609183,0,73738.0,2019-12-28


  4. Large transaction amount outside the normal range

trans_dt_time,cc_num,user_name,category,amount,first_name,last_name,gender,street,city,state,zip,lat,long,city_popn,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,merch_zipcode,dup_date,large_trans
2019-01-07 23:50:36,3567697931646329.0,Pouros-Haag,shopping_pos,5444.24,John,Stevens,M,428 Morgan River,Hudson,NY,12534,42.247,-73.7552,17867.0,Travel agency manager,1998-07-29,e80105badbd35c0f583e5f2910ea951a,1325980236.0,41.588036,-73.799288,0,12533.0,2019-01-07,True
2019-01-11 16:37:15,343472729187663.0,"Schroeder, Wolff and Hermiston",travel,11872.21,Gloria,Wallace,F,234 Bridges Wells Apt. 389,Center Tuftonboro,NH,3816,43.6849,-71.2551,1368.0,"Optician, dispensing",1971-08-05,4f3ddd38d97af5a9808705a6bd742960,1326299835.0,43.235621,-71.39174100000001,0,3258.0,2019-01-11,True
2019-01-22 15:24:15,2264937662466770.0,"Ritchie, Bradtke and Stiedemann",travel,10776.59,Juan,Sherman,M,5939 Garcia Forges Suite 297,San Antonio,TX,78214,29.3641,-98.4924,1595797.0,Land,1995-10-17,16928015dca994adc051afe4b42b1c54,1327245855.0,29.772325,-98.593405,0,78015.0,2019-01-22,True
2019-01-29 13:37:16,3598634130286287.0,"Watsica, Haag and Considine",shopping_pos,5027.6,David,Hughes,M,707 Butler Parkways Apt. 747,Omaha,NE,68117,41.2064,-95.9953,518429.0,"Surveyor, land/geomatics",1995-10-10,7a383f0b9524dfcb974e9935ec95d4d4,1327844236.0,41.667116,-95.44668,0,51565.0,2019-01-29,True
2019-02-04 21:22:30,30235268718158.0,"Champlin, Rolfson and Connelly",travel,12788.07,Kenneth,Doyle,M,8614 Reed Glen,West Harrison,NY,10604,41.0592,-73.7395,11250.0,Lexicographer,1977-08-16,b544af3bb2b803347b8b71995d965acd,1328390550.0,40.269472,-73.48206400000001,0,,2019-02-04,True
2019-03-02 15:36:36,4633065159406313.0,"Champlin, Rolfson and Connelly",travel,11629.34,Jasmine,Wade,F,90662 Lewis Avenue,Providence,RI,2908,41.8383,-71.4377,203571.0,"Nurse, children's",1995-11-29,8a31df33975e8773d4c8cc34799c5624,1330702596.0,42.504489,-71.379189,0,1741.0,2019-03-02,True
2019-03-10 16:33:32,4302480582202074.0,Kerluke-Abshire,shopping_net,6818.74,David,Rodriguez,M,821 Solis Points,Muskegon,MI,49440,43.2326,-86.2492,128715.0,Historic buildings inspector/conservation officer,1995-05-25,6e39875e0d0c507b7d620aeb7e670219,1331397212.0,43.30082,-86.43262299999999,0,49445.0,2019-03-10,True
2019-03-22 13:17:34,4450831335606294.0,"Larson, Quitzon and Spencer",travel,15034.18,Donna,Davis,F,6760 Donovan Lakes,Clayton,OK,74536,34.5906,-95.38,1760.0,Occupational psychologist,1972-01-20,938cfcbde2c3a64c38b7855eb8288de0,1332422254.0,35.266488,-95.033506,0,74462.0,2019-03-22,True
2019-03-25 17:38:55,372509258176510.0,Tillman LLC,travel,10469.09,Kristen,Hanson,F,26544 Andrea Glen,Goodrich,MI,48438,42.9147,-83.4845,6951.0,Learning disability nurse,1985-06-18,37d46917137e98e2299a80603c270008,1332697135.0,42.192907,-84.09466,0,48158.0,2019-03-25,True
2019-03-28 16:53:47,630451534402.0,Ankunding-Carroll,travel,14630.68,Rachel,Daniels,F,561 Little Plain Apt. 738,Wetmore,MI,49895,46.3535,-86.6345,765.0,Immunologist,1972-06-12,c3fd5aeb603b150ce5c05c7ee38ada97,1332953627.0,46.944452000000005,-85.746696,0,,2019-03-28,True
